projection method,n_components,variance threshhold,k,nubmber of stimators,distance method,sampeling method,accuracy,precision,recall,f1_score,trainigtime
random,52,0.95,4,12,euclidean,stratified,0.9802,0.9807541843945057,0.9802,0.9802407613159636,0.07
random,58,0.95,3,14,euclidean,stratified,0.9833,0.983607811773197,0.9833,0.9833377830027803,0.087
random,88,0.95,4,18,euclidean,stratified,0.9838,0.9842489103546567,0.9838,0.9838522157700883,0.111
random,51,0.95,3,10,euclidean,stratified,0.9808,0.9812487008743885,0.9808,0.9808533212527795,0.046
random,96,0.95,4,14,euclidean,stratified,0.9844,0.9847716080059258,0.9844,0.9844397681492384,0.089
random,50,0.95,4,14,euclidean,stratified,0.9829,0.9833251230722765,0.9829,0.9829489899873508,0.075
random,67,0.95,3,18,euclidean,stratified,0.9849,0.9851802701363506,0.9849,0.9849341131283905,0.094
random,51,0.95,3,10,euclidean,stratified,0.9809,0.9812821910175782,0.9809,0.9809354398665542,0.037
random,89,0.95,3,14,euclidean,stratified,0.9867,0
random,57,0.95,4,15,euclidean,stratified,0.9828,0.9832849352313622,0.9828,0.9828515293897513,0.072
random,98,0.95,4,10,euclidean,stratified,0.9835,0.983954260243388,0.9835,0.983542426062532,0.055
random,71,0.95,3,15,euclidean,stratified,0.985,0.9851699291407855,0.985,0.9850171818395637,0.081
random,89,0.95,3,14,euclidean,stratified,0.9863,0.9865053576572446,0.9863,0.9863226674216065,0.084
random,53,0.95,3,11,euclidean,stratified,0.9827,0.9829705758249798,0.9827,0.9827275593148747,0.043
random,72,0.95,3,16,euclidean,stratified,0.9849,0.985107210343476,0.9849,0.9849227117617791,0.128
random,65,0.95,4,16,euclidean,stratified,0.9827,0.9831062052360791,0.9827,0.9827433074109515,0.086
random,94,0.95,4,19,euclidean,stratified,0.9843,0.9845807191061704,0.9843,0.9843232622069591,0.178
random,69,0.95,3,13,euclidean,stratified,0.9853,0.9854998010441736,0.9853,0.9853073738833725,0.083
random,90,0.95,3,11,euclidean,stratified,0.9846,0.984814686347078,0.9846,0.9846271338624354,0.096
random,86,0.95,3,17,euclidean,stratified,0.9854,0.9855609372824717,0.9854,0.9854166141719816,0.155
random,90,0.95,5,16,euclidean,balanced,0.9858,0.9859800297052923,0.9858,0.9858251166653048,0.124
random,73,0.95,4,10,euclidean,balanced,0.9819,0.9824217940961824,0.9819,0.9819519514870338,0.065
pca,86,0.95,5,13,euclidean,balanced,0.9868,0.9869770072807671,0.9868,0.9868240892785647,0.452
pca,84,0.95,3,12,euclidean,stratified,0.9852,0.9853823450264968,0.9852,0.9852208949349238,0.377
random,80,0.95,4,19,euclidean,stratified,0.9845,0.9848902200222408,0.9845,0.9845406843571755,0.111
random,87,0.95,5,14,euclidean,stratified,0.9859,0.9861623268180809,0.9859,0.9859220826846212,0.127
pca,87,0.95,3,14,euclidean,balanced,0.9858,0.9859688889462279,0.9858,0.985820389174591,0.455
pca,83,0.95,5,15,euclidean,balanced,0.9874,0.9875313415082655,0.9874,0.9874145817321304,0.481
pca,81,0.95,5,14,euclidean,balanced,0.9874,0.9875465194894465,0.9874,0.9874161795469305,0.462
random,82,0.95,5,15,euclidean,stratified,0.9852,0.9854299442933503,0.9852,0.9852299239613765,0.095
pca,80,0.95,5,12,euclidean,balanced,0.9865,0.9866610487000873,0.9865,0.9865202663096874,0.408
pca,79,0.95,3,14,euclidean,balanced,0.9855,0.9856464535806599,0.9855,0.9855162301507598,0.453
pca,83,0.95,5,13,euclidean,balanced,0.9864,0.9865578059836385,0.9864,0.9864227156553725,0.424
pca,85,0.95,5,16,euclidean,balanced,0.9868,0.9869300397027804,0.9868,0.9868176882876698,0.499
random,50,0.95,5,20,euclidean,stratified,0.9847,0.9849473819439647,0.9847,0.9847314791588345,0.128
random,100,0.95,3,20,euclidean,stratified,0.9865,0.9866561110171984,0.9865,0.9865232023368211,0.162
random,100,0.95,3,16,euclidean,balanced,0.9868,0.9869557502609406,0.9868,0.9868146145692946,0.139
pca,100,0.95,5,17,euclidean,stratified,0.9865,0.9866625073919729,0.9865,0.9865223815922316,0.595
pca,97,0.95,3,16,euclidean,stratified,0.984,0.984214087339742,0.984,0.9840251887829401,0.508
pca,83,0.95,5,15,euclidean,balanced,0.9874,0
random,57,0.95,4,15,euclidean,stratified,0.9814,0.9819729889965416,0.9814,0.9814592492220785,0.104
random,98,0.95,4,10,euclidean,stratified,0.9846,0.9849523491249147,0.9846,0.9846202362034444,0.067
random,71,0.95,3,15,cosine,stratified,0.9855,0.9857563137801966,0.9855,0.9855349135605024,0.093
random,89,0.95,3,14,euclidean,stratified,0.9851,0.9853109363455246,0.9851,0.9851211443456248,0.125
random,53,0.95,3,11,cosine,stratified,0.9819,0.9823045559274327,0.9819,0.9819439496192909,0.067
random,72,0.95,3,16,euclidean,stratified,0.9849,0.9851157148912316,0.9849,0.9849298630446539,0.113
random,65,0.95,4,16,cosine,stratified,0.9842,0.9845937475229651,0.9842,0.9842401056249258,0.097
random,94,0.95,4,19,euclidean,stratified,0.985,0.985411429136208,0.985,0.9850465085353577,0.159
random,69,0.95,3,13,euclidean,stratified,0.9848,0.9851234660010819,0.9848,0.9848484579550328,0.099
random,90,0.95,3,11,cosine,stratified,0.9844,0.9845794383076467,0.9844,0.9844205052508658,0.09
random,57,0.95,4,15,euclidean,stratified,0.9833,0.9836754361360972,0.9833,0.983333046232571,0.07
random,98,0.95,4,10,cosine,smote,0.9843,0.9846692952087344,0.9843,0.9843375776365206,0.078
random,71,0.95,3,15,euclidean,smote,0.9857,0.9859685581988022,0.9857,0.9857277693550346,0.118
random,89,0.95,3,14,cosine,smote,0.9857,0.9858650841620645,0.9857,0.9857109964673322,0.101
random,53,0.95,3,11,cosine,smote,0.9817,0.981969050726531,0.9817,0.9817184876967465,0.099
random,72,0.95,3,16,cosine,smote,0.986,0.9861832700946672,0.986,0.9860250647277988,0.029
random,65,0.95,4,16,ecosine,smote,0.9841,0.9845520582956211,0.9841,0.9841611654900877,0.057
random,94,0.95,4,19,euclidean,stratified,0.9856,0.9858764247539111,0.9856,0.9856279401661437,0.101
random,69,0.95,3,13,cosine,smote,0.9828,0.9830862608128009,0.9828,0.9828295498385402,0.077
random,90,0.95,3,11,cosine,stratified,0.9844,0.984622256747348,0.9844,0.9844300254874939,0.11
random,74,0.95,3,15,cosine,smote,0.9849,0.9851246702203181,0.9849,0.9849302146687733,0.117
random,91,0.95,4,16,euclidean,stratified,0.9851,0.9854512254082167,0.9851,0.9851333246848637,0.091
random,86,0.95,4,16,euclidean,smote,0.985,0.9853295685342293,0.985,0.9850414369399563,0.104
pca,70,0.95,3,19,euclidean,smote,0.9867,0.9868537249975654,0.9867,0.9867199564178458,0.615
